date,id,n1,n2,n3,n4,n5,n6
2018-05-02,278,10,11,22,29,37,40
2018-05-04,279,9,18,25,26,27,29
2018-05-06,280,11,26,28,34,36,37
2018-05-09,281,9,15,20,30,31,33
2018-05-11,282,10,11,26,29,33,38
2018-05-13,283,6,11,16,18,27,41
2018-05-16,284,10,21,23,25,35,38
2018-05-18,285,3,18,24,29,30,35
2018-05-20,286,18,19,25,26,29,39
2018-05-23,287,13,16,25,34,37,41
2018-05-25,288,5,14,22,26,29,39
2018-05-27,289,5,9,17,18,19,22
2018-05-30,290,2,17,19,27,31,36
2018-06-01,291,6,14,19,38,43,44
2018-06-03,292,18,20,24,40,42,45
2018-06-06,293,6,20,22,26,43,44
2018-06-08,294,4,13,32,35,40,42
2018-06-10,295,22,25,35,36,38,39
2018-06-13,296,2,4,17,24,31,40
2018-06-15,297,8,11,13,23,24,28
2018-06-17,298,3,5,6,7,34,40
2018-06-20,299,2,18,22,30,32,43
2018-06-22,300,15,19,20,26,34,39
2018-06-24,301,6,8,23,32,33,41
2018-06-27,302,25,27,29,33,37,38
2018-06-29,303,6,18,22,24,36,39
2018-07-01,304,4,7,15,28,34,37
2018-07-04,305,2,3,27,28,34,43
2018-07-06,306,22,26,33,34,38,42
2018-07-08,307,2,7,8,10,28,44
2018-07-11,308,12,26,28,29,39,43
2018-07-13,309,3,8,9,25,27,28
2018-07-15,310,7,15,20,29,31,38
2018-07-18,311,8,10,14,19,26,34
2018-07-20,312,13,14,16,19,20,23
2018-07-22,313,8,9,24,27,40,45
2018-07-25,314,9,16,18,38,41,45
2018-07-27,315,2,21,32,37,38,42
2018-07-29,316,26,31,32,37,43,45
2018-08-01,317,5,6,29,30,37,38
2018-08-03,318,3,8,10,24,27,28
2018-08-05,319,7,10,18,31,39,43
2018-08-08,320,19,34,37,39,41,44
2018-08-10,321,18,22,24,29,41,45
2018-08-12,322,5,16,17,28,31,38
2018-08-15,323,12,24,25,33,40,44
2018-08-17,324,3,8,22,28,33,42
2018-08-19,325,16,18,28,36,37,45
2018-08-22,326,15,17,18,33,34,44
2018-08-24,327,3,22,25,29,33,40
2018-08-26,328,1,3,11,12,22,36
2018-08-29,329,16,17,24,28,30,36
2018-08-31,330,11,19,30,36,38,40
2018-09-02,331,10,12,13,22,26,40
2018-09-05,332,5,6,22,27,34,37
2018-09-07,333,8,10,11,28,42,45
2018-09-09,334,8,14,18,21,44,45
2018-09-12,335,11,12,13,16,29,31
2018-09-14,336,12,16,17,18,26,34
2018-09-16,337,3,13,17,18,23,34
2018-09-19,338,10,20,22,24,27,42
2018-09-21,339,1,3,11,14,23,29
2018-09-23,340,18,27,32,35,41,44
2018-09-26,341,12,19,27,39,42,45
2018-09-28,342,2,6,11,13,15,38
2018-09-30,343,1,20,24,36,43,45
2018-10-03,344,6,12,19,21,25,45
2018-10-05,345,4,12,17,29,35,44
2018-10-07,346,14,18,31,34,39,44
2018-10-10,347,18,19,22,28,41,42
2018-10-12,348,11,12,20,26,28,42
2018-10-14,349,7,8,9,34,40,43
2018-10-17,350,1,12,14,36,39,43
2018-10-19,351,2,14,30,38,39,45
2018-10-21,352,6,22,24,28,30,37
2018-10-24,353,6,26,34,35,39,42
2018-10-26,354,2,18,31,33,36,41
2018-10-28,355,9,18,19,20,31,45
2018-10-31,356,17,22,26,30,33,35
2018-11-02,357,4,6,11,18,24,25
2018-11-04,358,7,12,13,17,25,30
2018-11-07,359,6,18,22,25,31,37
2018-11-09,360,6,18,28,32,34,35
2018-11-11,361,20,23,26,27,32,34
2018-11-14,362,12,14,24,26,30,40
2018-11-16,363,4,12,18,21,25,41
2018-11-18,364,6,27,28,30,37,44
2018-11-21,365,7,9,16,19,24,33
2018-11-23,366,8,10,12,21,25,40
2018-11-25,367,3,5,11,18,24,29
2018-11-28,368,8,13,20,21,25,28
2018-11-30,369,11,18,23,25,28,35
2018-12-02,370,2,4,12,23,37,45
2018-12-05,371,7,28,29,39,42,45
2018-12-07,372,1,6,7,22,31,39
2018-12-09,373,6,8,26,34,40,41
2018-12-12,374,1,3,11,15,27,30
2018-12-14,375,7,16,20,26,30,34
2018-12-16,376,1,14,22,26,35,42
2018-12-19,377,2,10,11,32,40,44
2018-12-21,378,1,7,16,27,29,34
2018-12-23,379,1,3,10,11,16,44
2018-12-26,380,21,28,34,35,41,44
2018-12-28,381,3,22,24,25,31,37
2018-12-30,382,10,19,31,35,42,44
2019-01-02,383,4,14,32,35,36,40
2019-01-04,384,1,8,14,16,19,22
2019-01-06,385,9,22,33,34,35,44
2019-01-09,386,17,27,28,30,33,41
2019-01-11,387,19,21,22,23,25,44
2019-01-13,388,1,20,21,23,26,33
2019-01-16,389,1,8,14,24,31,40
2019-01-18,390,12,15,19,38,40,45
2019-01-20,391,8,16,21,31,35,38
2019-01-23,392,2,9,13,29,33,40
2019-01-25,393,11,13,14,22,30,38
2019-01-27,394,9,11,12,22,27,29
2019-01-30,395,1,4,6,13,37,41
2019-02-01,396,3,4,6,38,39,43
2019-02-03,397,1,2,5,9,23,24
2019-02-06,398,22,24,25,30,33,38
2019-02-08,399,11,12,33,36,39,43
2019-02-10,400,1,11,17,25,29,35
2019-02-13,401,5,11,18,33,37,41
2019-02-15,402,3,22,26,27,30,44
2019-02-17,403,11,12,14,25,29,31
2019-02-20,404,1,10,15,24,37,45
2019-02-22,405,7,10,18,25,44,45
2019-02-24,406,1,7,13,23,32,42
2019-02-27,407,5,12,15,16,25,35
2019-03-01,408,15,23,29,31,38,43
2019-03-03,409,1,13,17,20,30,45
2019-03-06,410,2,7,14,24,40,41
2019-03-08,411,4,14,20,27,32,43
2019-03-10,412,5,24,31,32,42,45
2019-03-13,413,5,16,24,26,34,44
2019-03-15,414,5,10,15,19,38,42
2019-03-17,415,5,6,16,18,24,42
2019-03-20,416,2,7,17,24,29,37
2019-03-22,417,1,3,6,13,18,41
2019-03-24,418,5,17,21,27,34,40
2019-03-27,419,9,12,22,24,30,42
2019-03-29,420,2,19,26,27,30,37
2019-03-31,421,3,5,19,28,31,38
2019-04-03,422,4,11,18,33,34,45
2019-04-05,423,2,7,25,36,38,43
2019-04-07,424,8,10,26,28,32,34
2019-04-10,425,7,11,14,30,35,42
2019-04-12,426,3,12,15,16,17,44
2019-04-14,427,4,13,20,34,35,37
2019-04-17,428,7,11,21,25,30,44
2019-04-19,429,1,4,5,12,17,21
2019-04-21,430,8,11,13,20,41,43
2019-04-24,431,4,7,12,13,20,45
2019-04-26,432,1,2,14,15,16,30
2019-04-28,433,4,24,28,30,33,43
2019-05-01,434,18,23,24,27,33,41
2019-05-03,435,1,6,14,31,35,44
2019-05-05,436,13,27,30,38,39,41
2019-05-08,437,1,7,8,31,34,45
2019-05-10,438,5,23,25,30,35,38
2019-05-12,439,1,8,13,17,21,43
2019-05-15,440,17,28,29,33,34,35
2019-05-17,441,6,16,18,29,39,43
2019-05-19,442,2,11,19,27,30,42
2019-05-22,443,1,13,16,22,23,35
2019-05-24,444,2,3,31,33,35,40
2019-05-26,445,11,12,14,23,29,32
2019-05-29,446,12,18,19,27,35,42
2019-05-31,447,5,6,7,12,23,30
2019-06-02,448,2,5,12,35,41,43
2019-06-05,449,4,8,22,25,37,39
2019-06-07,450,11,13,15,26,27,41
2019-06-09,451,2,6,22,25,35,36
2019-06-12,452,10,11,21,23,26,37
2019-06-14,453,2,12,16,36,37,45
2019-06-16,454,6,7,19,29,31,36
2019-06-19,455,2,4,11,15,35,40
2019-06-21,456,1,4,19,21,23,39
2019-06-23,457,3,8,11,27,32,36
2019-06-26,458,1,5,9,10,33,41
2019-06-28,459,11,25,37,40,41,45
2019-06-30,460,5,20,22,25,28,32
2019-07-03,461,2,7,25,29,39,45
2019-07-05,462,19,21,30,31,37,43
2019-07-07,463,2,18,21,23,30,31
2019-07-10,464,1,2,6,7,16,27
2019-07-12,465,16,18,24,26,40,44
2019-07-14,466,2,3,7,25,33,34
2019-07-17,467,10,11,16,22,28,35
2019-07-19,468,9,12,23,26,28,43
2019-07-21,469,7,8,10,24,33,44
2019-07-24,470,20,22,25,39,44,45
2019-07-26,471,5,14,16,22,25,33
2019-07-28,472,5,14,16,24,42,43
2019-07-31,473,6,12,15,19,25,45
2019-08-02,474,11,18,20,22,25,26
2019-08-04,475,6,10,21,30,43,45
2019-08-07,476,1,5,13,31,32,43
2019-08-09,477,11,19,26,28,30,42
2019-08-11,478,1,4,7,9,25,31
2019-08-14,479,13,20,22,24,33,34
2019-08-16,480,6,14,15,19,31,39
2019-08-18,481,2,7,18,21,24,33
2019-08-21,482,6,8,17,20,21,31
2019-08-23,483,6,7,12,17,19,24
2019-08-25,484,7,8,15,20,24,31
2019-08-28,485,1,4,12,14,19,30
2019-08-30,486,5,6,22,23,25,44
2019-09-01,487,5,7,14,16,29,40
2019-09-04,488,1,9,11,23,30,37
2019-09-06,489,2,4,13,15,26,31
2019-09-08,490,6,9,11,26,28,36
2019-09-11,491,21,25,29,32,34,35
2019-09-13,492,2,15,17,25,30,38
2019-09-15,493,8,9,28,33,35,43
2019-09-18,494,3,9,13,17,19,20
2019-09-20,495,7,12,24,29,31,45
2019-09-22,496,3,6,21,36,38,39
2019-09-25,497,9,14,22,26,44,45
2019-09-27,498,6,9,11,28,37,44
2019-09-29,499,2,9,12,18,21,23
2019-10-02,500,2,6,7,25,28,41
2019-10-04,501,2,9,24,25,30,36
2019-10-06,502,1,6,17,30,44,45
2019-10-09,503,3,12,21,24,28,32
2019-10-11,504,6,12,14,27,28,36
2019-10-13,505,6,22,28,31,37,40
2019-10-16,506,1,4,23,28,41,42
2019-10-18,507,4,14,15,22,28,39
2019-10-20,508,1,3,8,15,38,40
2019-10-23,509,2,9,21,23,32,41
2019-10-25,510,4,7,9,22,32,37
2019-10-27,511,1,19,29,30,40,42
2019-10-30,512,2,5,8,12,29,38
2019-11-01,513,6,11,20,30,37,40
2019-11-03,514,28,30,32,38,44,45
2019-11-06,515,3,15,22,23,38,43
2019-11-08,516,4,16,19,30,32,44
2019-11-10,517,4,14,21,28,32,36
2019-11-13,518,17,19,24,30,31,40
2019-11-15,519,2,13,27,33,40,41
2019-11-17,520,6,7,14,31,39,44
2019-11-20,521,10,21,22,24,43,44
2019-11-22,522,1,9,10,19,30,38
2019-11-24,523,5,21,24,28,29,34
2019-11-27,524,3,5,13,19,20,33
2019-11-29,525,14,15,16,17,19,34
2019-12-01,526,3,14,16,27,31,35
2019-12-04,527,16,19,24,30,32,35
2019-12-06,528,2,20,26,35,43,45
2019-12-08,529,12,20,30,31,34,44
2019-12-11,530,1,2,8,27,29,39
2019-12-13,531,2,8,9,25,26,40
2019-12-15,532,3,13,15,16,22,36
2019-12-18,533,8,9,12,19,22,25
2019-12-20,534,1,9,16,27,38,45
2019-12-22,535,9,10,11,18,22,36
2019-12-25,536,10,18,25,26,36,43
2019-12-27,537,2,7,10,12,33,43
2019-12-29,538,7,12,21,24,35,43
2020-01-01,539,8,10,23,26,37,38
2020-01-03,540,1,15,17,26,32,44
2020-01-05,541,5,11,12,26,44,45
2020-01-08,542,2,4,10,21,25,43
2020-01-10,543,10,18,24,35,41,43
2020-01-12,544,7,12,17,21,35,45
2020-01-15,545,2,8,19,31,38,44
2020-01-17,546,8,26,28,37,40,42
2020-01-19,547,1,4,19,25,35,39
2020-01-22,548,1,15,16,34,36,42
2020-01-26,549,4,5,9,25,33,37
2020-01-29,550,3,10,16,24,39,44
2020-01-31,551,8,9,20,25,30,40
2020-02-02,552,1,4,16,32,35,38
2020-02-05,553,9,19,24,37,38,45
2020-02-07,554,6,11,15,33,40,44
2020-02-09,555,1,4,18,22,26,35
2020-02-12,556,5,13,16,20,24,35
2020-02-14,557,4,14,24,32,36,43
2020-02-16,558,1,4,14,36,37,41
2020-02-19,559,1,16,23,25,30,38
